id,class,color,name,longitude,latitude
fr128,councildata,#4b4c7a,CALLE SAN FAUSTINO 8,-3.609099900000000,40.447004199999988
fr129,councildata,#4b4c7a,AVENIDA ALBUFERA 25,-3.667005800000000,40.397295300000003
fr130,councildata,#4b4c7a,CALLE BLASCO DE GARAY 15,-3.711828799999999,40.431552000000003
fr131,councildata,#4b4c7a,PASEO MARCELINO CAMACHO 60,-3.743965200000000,40.387488599999998
fr132,councildata,#4b4c7a,CALLE PEDRO LABORDE 28,-3.648057300000000,40.388728899999997
fr133,councildata,#4b4c7a,CALLE ANTONIO LOPEZ 57,-3.709107399999999,40.394787500000000
fr134,councildata,#4b4c7a,CALLE ARAPILES 11,-3.705918800000000,40.432920500000002
fr135,councildata,#4b4c7a,AVENIDA ALBUFERA 17,-3.667448400000000,40.397568300000003
fr136,councildata,#4b4c7a,CALLE ALCALA 390,-3.640583100000000,40.436606200000000
fr137,councildata,#4b4c7a,CALLE FRANCISCO SILVELA 54,-3.674081600000000,40.434967700000001
fr138,councildata,#4b4c7a,CALLE MENDEZ ALVARO 83,-3.678535200000000,40.395128100000001
fr139,councildata,#4b4c7a,CALLE PRINCESA 5,-3.712933400000000,40.424895399999997
fr140,councildata,#4b4c7a,AVENIDA RAFAEL ALBERTI 27,-3.640872100000000,40.386467699999997
fr141,councildata,#4b4c7a,CALLE VICENTE CARBALLAL 3,-3.682753900000000,40.352924500000000
fr142,councildata,#4b4c7a,CALLE GRAN VIA 50,-3.706567300000000,40.420901800000003
fr143,councildata,#4b4c7a,CALLE EMBAJADORES 176,-3.695355200000000,40.394875399999997
fr144,councildata,#4b4c7a,CALLE EMILIO FERRARI 58,-3.641253200000000,40.431103999999998
fr145,councildata,#4b4c7a,CALLE ANTONIA CALAS 15,-3.668166600000000,40.397230100000009
fr146,councildata,#4b4c7a,AVENIDA REINA VICTORIA 4,-3.704846000000000,40.447209800000003
fr147,councildata,#4b4c7a,CALLE BENIFERRI 1,-3.690858500000000,40.344981199999999
fr148,councildata,#4b4c7a,CALLE VILLAAMIL 76,-3.708049300000000,40.461599600000000
fr149,councildata,#4b4c7a,CALLE ROCAFORT 20,-3.687420000000000,40.341439999999999
fr150,councildata,#4b4c7a,CALLE CRISTO DE LA VICTORIA 185,-3.705683900000000,40.379054600000003
fr151,councildata,#4b4c7a,CALLE FERNANDO EL CATOLICO 3,-3.706187200000000,40.433585600000001
fr152,councildata,#4b4c7a,AVENIDA PALOMERAS 142,-3.649679000000000,40.386092099999999
fr153,councildata,#4b4c7a,BULEVAR INDALECIO PRIETO 32,-3.622541500000000,40.398623600000001
fr154,councildata,#4b4c7a,CALLE MONTERA 44,-3.701570000000000,40.419480000000000
fr155,councildata,#4b4c7a,CALLE CAPITAN BLANCO ARGIBAY 101,-3.703709300000000,40.466817399999996
fr156,councildata,#4b4c7a,CALLE FRANCISCO SILVELA 54,-3.674081600000000,40.434967700000001
fr157,councildata,#4b4c7a,AVENIDA MARQUES DE CORBERA 9,-3.655407399999999,40.423505499999997
fr158,councildata,#4b4c7a,CALLE CAMINO VIEJO DE LEGANES 147,-3.729189100000000,40.383450000000003
fr159,councildata,#4b4c7a,CALLE CARLOS MARTIN ALVAREZ 100,-3.666417000000000,40.386057399999999
fr160,councildata,#4b4c7a,AVENIDA GALAXIA 8,-3.785507800000000,40.458371300000003
fr161,councildata,#4b4c7a,CALLE BERNARDINA ARANGUREN 16,-3.741391200000000,40.388777099999999
fr162,councildata,#4b4c7a,CALLE MARCELO USERA 100,-3.708073600000000,40.385698599999998
fr163,councildata,#4b4c7a,CALLE MARCELO USERA 48,-3.703157800000000,40.386253500000002
fr164,councildata,#4b4c7a,CALLE MARCELO USERA 85,-3.706527500000000,40.385588899999988
fr165,councildata,#4b4c7a,CALLE CAMINO VIEJO DE LEGANES 141,-3.728814000000000,40.384046400000003
fr166,councildata,#4b4c7a,CALLE SERRANIA DE RONDA 3,-3.620404100000000,40.379776000000000
fr167,councildata,#4b4c7a,CALLE BRAVO MURILLO 345,-3.695069200000000,40.464658700000001
fr168,councildata,#4b4c7a,CALLE ISABELITA USERA 24,-3.708045000000000,40.384209400000003
fr169,councildata,#4b4c7a,CALLE GENERAL RICARDOS 171,-3.734047900000000,40.386814000000001
fr170,councildata,#4b4c7a,CALLE JOSE DEL HIERRO 39,-3.644463300000000,40.440220199999999
fr171,councildata,#4b4c7a,CALLE VIRGEN DE LA ROCA 43,-3.658106399999999,40.434918900000000
fr172,councildata,#4b4c7a,CALLE VIRGEN DEL SAGRARIO 3,-3.647799900000000,40.434057699999997
fr173,councildata,#4b4c7a,CALLE PENYA RUBIA 1,-3.667011500000000,40.396889600000002
fr174,councildata,#4b4c7a,CALLE ANTONIO LOPEZ 49,-3.710207099999999,40.395332900000000
fr175,councildata,#4b4c7a,CALLE ALCALA 419,-3.637779900000000,40.438164399999998
fr176,councildata,#4b4c7a,CALLE MARCELO USERA 55,-3.704180200000000,40.385919100000002
fr177,councildata,#4b4c7a,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 43,-3.696772500000000,40.434828899999999
fr178,councildata,#4b4c7a,CALLE DONOSO CORTES 1,-3.704727100000000,40.435984099999999
fr179,councildata,#4b4c7a,CALLE LOPE DE HARO 15,-3.703541800000000,40.456825100000003
fr180,councildata,#4b4c7a,CALLE SAN CIPRIANO 35,-3.603415500000000,40.404306200000001
fr181,councildata,#4b4c7a,CALLE SAN CIPRIANO 44,-3.604060000000000,40.403810000000000
fr182,councildata,#4b4c7a,PASEO RECOLETOS 41,-3.691881100000000,40.425086000000000
fr183,councildata,#4b4c7a,CALLE MARIA MARTINEZ OVIOL 3,-3.691416100000000,40.351323600000001
fr184,councildata,#4b4c7a,CALLE ARACNE 3,-3.587508400000000,40.446940800000000
fr185,councildata,#4b4c7a,CALLE DOCTOR URQUIOLA 5,-3.742423800000000,40.387563800000002
fr186,councildata,#4b4c7a,CALLE ISABELITA USERA 42,-3.707777300000000,40.382850500000004
fr187,councildata,#4b4c7a,CALLE QUERO 59,-3.760360000000000,40.390371799999997
fr188,councildata,#4b4c7a,CALLE MALDONADO 62,-3.674066399999999,40.433346100000001
fr189,councildata,#4b4c7a,CALLE CONDE DE PEÑALVER 70,-3.703790200000000,40.416775399999999
fr190,councildata,#4b4c7a,CALLE EMBAJADORES 4,-3.706844600000000,40.410435100000001
fr191,councildata,#4b4c7a,RONDA ATOCHA 12,-3.696592299999999,40.406904200000000
fr192,councildata,#4b4c7a,CALLE ATOCHA 57,-3.699726000000000,40.412815500000001
fr193,councildata,#4b4c7a,CALLE CARRANZA 27,-3.705180300000000,40.429347100000001
fr194,councildata,#4b4c7a,CALLE PRECIADOS 32,-3.706429399999999,40.419776800000001
fr195,councildata,#4b4c7a,CALLE ESPOZ Y MINA 2,-3.702383700000000,40.416508200000003
fr196,councildata,#4b4c7a,PLAZA JACINTO BENAVENTE 5,-3.703779900000000,40.414759900000000
fr197,councildata,#4b4c7a,PLAZA JACINTO BENAVENTE 5,-3.703779900000000,40.414759900000000
fr198,councildata,#4b4c7a,CALLE TOLEDO 61,-3.707955400000000,40.411290700000002
fr199,councildata,#4b4c7a,CALLE ERCILLA 53,-3.700759600000000,40.400469500000000
fr200,councildata,#4b4c7a,PASEO SANTA MARIA DE LA CABEZA 75,-3.701184399999999,40.398634100000002
fr201,councildata,#4b4c7a,CALLE ALONSO CARBONELL 2,-3.696637100000000,40.395309300000001
fr202,councildata,#4b4c7a,CALLE EUGENIO SELLES 1,-3.698825600000000,40.395824400000002
fr203,councildata,#4b4c7a,CALLE VITAL AZA 53,-3.640840400000000,40.432643200000001
fr204,councildata,#4b4c7a,CALLE EMBAJADORES 55,-3.701879600000000,40.404613800000000
fr205,councildata,#4b4c7a,CALLE SEBASTIAN ELCANO 3,-3.701255100000000,40.404211699999998
fr206,councildata,#4b4c7a,PASEO DELICIAS 74,-3.694477000000000,40.398935700000003
fr207,councildata,#4b4c7a,PASEO DELICIAS 49,-3.693551700000000,40.402661799999997
fr208,councildata,#4b4c7a,CALLE BATALLA DEL SALADO 16,-3.696078200000000,40.402366200000003
fr209,councildata,#4b4c7a,CALLE TORTOSA 3,-3.692713400000000,40.406412799999998
fr210,councildata,#4b4c7a,PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS 52,-3.714935800000000,40.404130299999998
fr211,councildata,#4b4c7a,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW 1,-3.669163100000000,40.406055500000001
fr212,councildata,#4b4c7a,CALLE CARTAGENA 142,-3.675624900000000,40.442610400000000
fr213,councildata,#4b4c7a,CALLE SAN NAZARIO 2,-3.667037600000000,40.447774199999998
fr214,councildata,#4b4c7a,CALLE LOPEZ DE HOYOS 117,-3.671633000000000,40.445959700000003
fr215,councildata,#4b4c7a,AVENIDA AMERICA 7,-3.676993099999999,40.438176499999997
fr216,councildata,#4b4c7a,CALLE CLARA DEL REY 27,-3.671808299999999,40.441552899999998
