"id","name","latitude","longitude","class","color"
"dataira1190","ANCHA, 10, Seseña Viejo: LBO SESEÑA","40.1051029","-3.6927472","codere","#d2f6fc"
"dataira1191","GUTIERREZ MELLADO: LBO TORDESILLAS","41.5015353","-4.998745899999999","codere","#d2f6fc"
"dataira1192","REAL, 22, Torrejon Calzada: LBO TORREJON DE LA CALZADA","40.2016981","-3.7999099","codere","#d2f6fc"
"dataira1193","Calle YANGUAS Y MIRANDA, 2, Tudela: LBO TUDELA","42.0617763","-1.6065142","codere","#d2f6fc"
"dataira1194","ARTAJONA, 17, Madrid: LBO VALDEZARZA","40.4633112","-3.7180769","codere","#d2f6fc"
"dataira1195","Avenida Badajoz, 3, Valverde De Leganes: LBO VALVERDE DE LEGANES","38.6717255","-6.981403599999999","codere","#d2f6fc"
"dataira1196","VILLAAMIL, 76, Madrid: LBO VILLAAMIL","40.4615996","-3.7080493","codere","#d2f6fc"
"dataira1197","Cristo, 24, Villanueva de la Cañada: Lbo Villanueva De La Cañada","40.4482536","-3.998837","codere","#d2f6fc"
"dataira1198","Calle Gerona, 8, Benidorm: LEMA","38.5378185","-0.1214713","codere","#d2f6fc"
"dataira1199","CALZADA, 9, Cee: LENNON","42.9689054","-9.2009815","codere","#d2f6fc"
