company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,SALON LUNA PARK,"Calle IGLESIA, 47, Ferrol",43.48964600000001,-8.2193451,15404,Ferrol,Ferrol,Galicia,Spain
codere,SALON MADRID JUEGOS FRANCISCO SILVELA,"FRANCISCO SILVELA, 50, Madrid",40.434364,-3.6738515,28028,Madrid,Madrid,Community of Madrid,Spain
codere,SALON MARTINEZ DE LA RIVA,"MARTINEZ DE LA RIVA, Madrid",40.3917332,-3.66549,28053,Madrid,Madrid,Community of Madrid,Spain
codere,SALON MEGAPARK,"SANTA MARIA DE LA CABEZA, 1, Meco",40.5523543,-3.3285626,28880,Meco,Meco,Community of Madrid,Spain
codere,SALON MENENDEZ PIDAL,"RAMON MENENDEZ PIDAL, 60, Albacete",39.00102150000001,-1.8626999,02005,Albacete,Albacete,Castile-La Mancha,Spain
codere,SALON MERKUR DOCTOR URQUIOLA,"Calle del Dr. Urquiola, 5",40.3875638,-3.7424238,28025,Madrid,Madrid,Community of Madrid,Spain
codere,SALON MOBY DICK,"JACINTO BENAVENTE, 8, Monforte Del Cid",38.3816864,-0.729587,03670,Monforte del Cid,Monforte del Cid,Valencian Community,Spain
codere,SALON MOCEJON,"AVENIDA CASTILLA LA MANCHA, 55, Mocejon",39.9373992,-3.9192694,45270,Mocejón,Mocejón,Castile-La Mancha,Spain
codere,SALON MONACO,"PUERTO RICO, Puerto Rico",18.3986754,-65.9870155,00982,Carolina,,Carolina,Puerto Rico
codere,SALON MONEY MONEY III,"JOSE MARIA ALCARAZ Y ALENDA, 20, Badajoz",38.8689895,-6.988792699999999,06011,Badajoz,Tierra de Badajoz,Extremadura,Spain
codere,SALON MONTECARLO,"VIRGEN DEL CARMEN, 41, Algeciras",36.1330402,-5.4457958,11201,Algeciras,Algeciras,Andalusia,Spain
codere,SALON MONTILLA,"ANTONIO GALA, S/N, Montilla",37.5877237,-4.637286599999999,14550,Montilla,Montilla,Andalusia,Spain
codere,SALON MOTA DEL CUERVO,"CERVANTES, 14, Mota del Cuervo",39.500974,-2.8713211,16630,Mota del Cuervo,Mota del Cuervo,Castile-La Mancha,Spain
codere,SALON MURO DE ALCOY,"LA PAU, 16, Muro De Alcoy",38.7820768,-0.4371257,03830,Muro de Alcoy,Muro de Alcoy,Valencian Community,Spain
codere,SALON MUTXAMEL,"Avenida CARLOS SOLER (ESQ. C/ SALVADOR Y VICENTE PEREZ LLEDO), 14, Mutxamel",38.4128907,-0.4416949,03110,Mutxamel,Mutxamel,Valencian Community,Spain
codere,SALON NEVADA LAS ROZAS,"CONSTITUCION, 2",40.4935329,-3.8757916,28231,Las Rozas,Las Rozas de Madrid,Community of Madrid,Spain
codere,SALON NEVADA MOSTOLES,"DOS DE MAYO, 25, Mostoles",38.8026097,-116.419389,,,,Nevada,United States
codere,SALON NEVADA POZUELO,"ANTONIO DIAZ, 2, Pozuelo De Alarcon",40.4472716,-3.8007898,28224,Pozuelo de Alarcón,Pozuelo de Alarcón,Community of Madrid,Spain
codere,SALON NEVADA VALDEMORO,COLON 0001,38.8026097,-116.419389,,,,Nevada,United States
