"id","name","longitude","latitude","class","color"
"ense101","IES María Zambrano","-3.7480554","40.3306094","ense","#ffa258"
"ense102","CEIP Duque de Alba","-3.4138966","40.3795756","ense","#ffa258"
"ense103","IES Cervantes","-3.703275099999999","40.4059418","ense","#ffa258"
"ense104","CEIP Dámaso Alonso","-3.7097784","40.3448173","ense","#ffa258"
"ense105","EA Francisco Alcántara","-3.724265599999999","40.4267186","ense","#ffa258"
"ense106","CEIP Isaac Albéniz","-3.6691158","40.4642477","ense","#ffa258"
"ense107","CEIP Ciudad de Jaén","-3.7019266","40.3713361","ense","#ffa258"
"ense108","CEIP Vasco Núñez de Balboa","-3.6864086","40.4994073","ense","#ffa258"
"ense109","CEIP Escuelas Aguirre","-3.674669","40.414589","ense","#ffa258"
"ense110","CEIP Agustína Díez","-3.6469974","40.3884515","ense","#ffa258"
"ense111","CEIP Alberto Alcocer","-3.6120847","40.4326486","ense","#ffa258"
"ense112","CEIP Alfonso X El Sabio","-3.6036712","40.40320029999999","ense","#ffa258"
"ense113","CEIP Antonio Machado","-3.7545736","40.3673435","ense","#ffa258"
"ense114","CEIP De Prácticas Asunción Rincón","-3.7107991","40.4400278","ense","#ffa258"
"ense115","CEIP Azorín","-3.6871775","40.3430788","ense","#ffa258"
"ense116","CEIP Barcelona","-3.6966367","40.3585951","ense","#ffa258"
"ense117","CEIP Bolivia","-3.75103","40.40725","ense","#ffa258"
"ense118","CEIP Escuelas Bosque","-3.7125269","40.458999","ense","#ffa258"
"ense119","CEIP Capitán Cortés","-3.7427954","40.3808672","ense","#ffa258"
"ense120","CEIP Cervantes","-3.7030959","40.4466198","ense","#ffa258"
"ense121","CEIP Ciudad de los Ángeles","-3.695906","40.355545","ense","#ffa258"
"ense122","CEIP Ciudad Pegaso","-3.5985948","40.4480358","ense","#ffa258"
"ense123","CEIP Claudio Moyano","-3.7088176","40.4389877","ense","#ffa258"
"ense124","CEIP Conde de Romanones","-3.641797","40.4377408","ense","#ffa258"
"ense125","CEIP Cristóbal Colón","-3.7060437","40.3503542","ense","#ffa258"
"ense126","CEIP Emilia Pardo Bazán","-3.7059452","40.4065365","ense","#ffa258"
"ense127","CEIP Francisco Fatou","-3.6182305","40.3760142","ense","#ffa258"
"ense128","CEIP Francisco de Quevedo","-3.6793199","40.4047403","ense","#ffa258"
"ense129","CEIP Francisco Ruano","-3.6735388","40.380089","ense","#ffa258"
"ense130","CEIP Fray Junípero Serra","-3.658047199999999","40.3951139","ense","#ffa258"
"ense131","CEE Fray Pedro Ponce de León","-3.7532996","40.3929228","ense","#ffa258"
"ense132","CEIP Reina Victoria","-3.679663399999999","40.4336068","ense","#ffa258"
"ense133","CEIP Gonzalo Fernández de Córdoba","-3.77964","40.394135","ense","#ffa258"
"ense134","CEIP Gustavo Adolfo Becquer","-3.6490691","40.4239865","ense","#ffa258"
"ense135","CEIP Haití","-3.7463247","40.3860796","ense","#ffa258"
"ense136","CEIP Hermanos Pinzón","-3.768791799999999","40.3985942","ense","#ffa258"
"ense137","CEIP Hernan Cortés","-3.7513053","40.3915867","ense","#ffa258"
"ense138","CEIP Honduras","-3.62077","40.37773","ense","#ffa258"
"ense139","CEE Hospital del Niño Jesús","-3.677063999999999","40.414327","ense","#ffa258"
"ense140","CEE María Soriano","-3.7621984","40.362411","ense","#ffa258"
"ense141","CEIP Isaac Peral","-3.73089","40.386303","ense","#ffa258"
"ense142","CEIP Luis Bello","-3.673532599999999","40.4437336","ense","#ffa258"
"ense143","CEIP Jaime Balmes","-3.6707533","40.3879088","ense","#ffa258"
"ense144","CEIP Javier de Miguel","-3.6576785","40.3850402","ense","#ffa258"
"ense145","CEIP Joaquín Dicenta","-3.7383774","40.4056415","ense","#ffa258"
"ense146","CEIP José María de Pereda","-3.6750767","40.3816881","ense","#ffa258"
"ense147","CEIP Jovellanos","-3.7826727","40.3792416","ense","#ffa258"
"ense148","CEIP Juan de la Cierva","-3.690394","40.3544147","ense","#ffa258"
"ense149","CEIP Juan Ramón Jiménez","-3.7031097","40.4634299","ense","#ffa258"
"ense150","CEIP Juan Sebastián Elcano","-3.7047431","40.3890664","ense","#ffa258"
"ense151","CEIP Luis de Góngora","-3.7145913","40.4746881","ense","#ffa258"
"ense152","CEIP Manuel de Falla","-3.7054947","40.3462663","ense","#ffa258"
"ense153","CEIP Jorge Manrique","-3.7101748","40.3881374","ense","#ffa258"
"ense154","CEIP Marqués de Marcenado","-3.720266","40.4103431","ense","#ffa258"
"ense155","CEIP Amos Acero","-3.6641607","40.3897489","ense","#ffa258"
"ense156","CEIP Méjico","-3.6507196","40.443482","ense","#ffa258"
"ense157","CEIP Méndez Núñez","-3.6596233","40.47898259999999","ense","#ffa258"
"ense158","CEIP Menéndez y Pelayo","-3.6914141","40.4055595","ense","#ffa258"
"ense159","CEIP Menéndez Pidal","-3.6411437","40.4005532","ense","#ffa258"
"ense160","CEIP Mesonero Romanos","-3.644368","40.3936912","ense","#ffa258"
"ense161","CEIP Navas de Tolosa","-3.686072299999999","40.3447025","ense","#ffa258"
"ense162","CEIP Eduardo Rojo","-3.6629105","40.3874351","ense","#ffa258"
"ense163","CEIP Ntra. Sra. de la Concepción","-3.6497693","40.4372712","ense","#ffa258"
"ense164","CEIP Padre Coloma","-3.6151361","40.4487607","ense","#ffa258"
"ense165","CEIP Padre Mariana","-3.6715765","40.3770357","ense","#ffa258"
"ense166","CEIP Padre Poveda","-3.6678299","40.4511664","ense","#ffa258"
"ense167","CEIP Parque Aluche","-3.7609888","40.3908441","ense","#ffa258"
"ense168","CEIP Perú","-3.7136237","40.3940292","ense","#ffa258"
"ense169","CEIP Pinar del Rey","-3.6547005","40.4715447","ense","#ffa258"
"ense170","CEIP Pío XII","-3.6938724","40.466947","ense","#ffa258"
"ense171","CEIP Puerto Rico","-3.7190187","40.36841889999999","ense","#ffa258"
"ense172","CEIP Gonzalo de Berceo","-3.7219894","40.3847242","ense","#ffa258"
"ense173","CEIP Ramiro de Maeztu","-3.6863329","40.4424331","ense","#ffa258"
"ense174","CEIP Regimiento Inmemorial del Rey","-3.657392","40.407383","ense","#ffa258"
"ense175","CEIP República del Brasil","-3.6899035","40.3703064","ense","#ffa258"
"ense176","CEIP República Dominicana","-3.751540599999999","40.3758601","ense","#ffa258"
"ense177","CEIP República de Ecuador","-3.7253222","40.38793","ense","#ffa258"
"ense178","CEIP República del Paraguay","-3.69507","40.49195","ense","#ffa258"
"ense179","CEIP República del Uruguay","-3.7414469","40.39364459999999","ense","#ffa258"
"ense180","CEIP República de Venezuela","-3.7136103","40.3835954","ense","#ffa258"
"ense181","CEIP Los Rosales","-3.6778234","40.3517658","ense","#ffa258"
