CD_CENTRO,ETIQUETA,DIRECCION,CMUNI,MUNICIPIO,UTM_Y,UTM_X
28072387,EEI El Columpio,"Paseo Arroyomolinos, 64",092,Móstoles,4462440,425412
28072399,EEI La Liebre y La Tortuga,"Calle Emma González Tablada, 2",171,Villa del Prado,4458946,389236
28072405,EEI Juan Farias,"Calle Toledo , 18",181,Villaviciosa de Odón,4467727,424853
28072417,EEI Nana de la Cebolla,"Calle Fernando Trueba, 6",123,Rivas-Vaciamadrid,4466863,456292
28072429,EEI Calimero,"Calle Amapolas, s/n",047,Collado Villalba,4499091,414649
28072466,CEIP Maestro Padilla,"Avda Peseta , 112",079,Madrid,4468273,436591
28072478,CEIP Antonio Fontán,Avda Santuario de Valverde c/v Calle Monasterio Arlanza,079,Madrid,4484823,441220
28072508,EA Escuela Superior de Diseño,"Calle Camino de los Vinateros, 106",079,Madrid,4473333,444962
28072831,EEI Chinchón nº 1,"Calle Teniente Ortiz De Zarate, 19",052,Chinchón,4443603,464474
28072995,CEIP Cortes de Cádiz,Avda Niceto Alcalá Zamora c/v Avda Isabel de Valois,079,Madrid,4483327,444468
28073008,CEIP Constitución de 1812,Calle León c/v Avda Valladolid,074,Leganés,4463475,436184
28073011,CEIP María Montessori,"Calle Pintor Velázquez, 62",092,Móstoles,4463858,425050
28073033,CEIP Diego Muñoz-Torrero,"Calle Ana Frank, 5 c/v Calle Marie Curie",161,Valdemoro,4450191,441492
28073112,EEI La Isla de Las Arreñas,"Ctra. Pastrana, 7",012,Anchuelo,4479613,477302
28073124,EEI Nanas,"Calle Pablo Neruda, 3",007,Alcorcón,4465583,429958
28073136,EEI Río Tajuña,"Calle Río Tajuña, 23 dup.",011,Ambite,4463882,484618
28073215,EEI Osa Mayor,"Calle Casiopea, 14",092,Móstoles,4462598,426829
28073264,EEI El Olivar,"Calle Olivar, 48-50",079,Madrid,4473452,440475
28073288,EEI El Sacapuntas,"Calle Ciencias, 27",058,Fuenlabrada,4459258,430898
28073379,EEI Escuelas de San Antón,"Calle de la Farmacia, 13",079,Madrid,4475030,440716
28073392,EEI El Gato con botas,"Calle Antonio Solís, s/n",148,Torrejón de Ardoz,4477139,461202
28073586,EEI La Princesa,"Calle Mediterráneo, s/n",007,Alcorcón,4464939,428920
28073811,CEE Academia de Ingenieros del Ejército de Tierra,"Ctra. Colmenar Viejo (Torrelodones a Colmenar Viejo), km. 10",072,Hoyo de Manzanares,4497501,425408
