"id_local","clase_vial_acceso","desc_vial_acceso","num_acceso","rotulo","desc_seccion","desc_division","lng","lat","label"
112,"CALLE","BRAVO MURILLO",345,"SOLPARK","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6950692","40.4646587",
113,"CALLE","CAPITAN BLANCO ARGIBAY",24,"CODERE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6976931","40.4652171",
114,"CALLE","BRAVO MURILLO",303,"VICTORIA APUESTAS DEPORTIVOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.697791799999999","40.46217190000001",
115,"CALLE","BRAVO MURILLO",333,"SALON DE JUEGO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6958668","40.464341",
116,"CALLE","BRAVO MURILLO",159,"ARCADIA Y SPORTIUM",,"JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)","-3.7034785","40.4520829","notcouncildata"
117,"CALLE","BRAVO MURILLO",228,"ROYAL CROWN",,"JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)","-3.7006076","40.45827550000001","notcouncildata"
118,"CALLE","BRAVO MURILLO",301,"SALÓN DE JUEGOS FORTUNA",,"LICENCIA DESCONOCIDA","-3.6977973","40.4622107","notcouncildata"
119,"CALLE","BRAVO MURILLO",311,"SALA VERSALLES",,"LICENCIA DESCONOCIDA","-3.6970999","40.46304689999999","notcouncildata"
120,"AVENIDA","REINA VICTORIA",6,"LUCKIA",,"SALONES DE RECREO Y DIVERSION Y OTRAS ACTIVIDADES RECREATIVAS","-3.704842599999999","40.4472076",
121,"CALLE","PONCE DE LEON",2,"SALON DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6988133","40.4359693",
122,"CALLE","ARAPILES",4,"SALON DE JUEGOS MADRID 15","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7051735","40.4334824",
123,"CALLE","FERNANDO EL CATOLICO",3,"MERKUR","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7061872","40.4335856",
124,"CALLE","ARAPILES",11,"SALA DE BINGO-ARAPILES","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7059188","40.4329205",
125,"CALLE","DONOSO CORTES",1,"ACTIVIDAD COMERCIAL CONSISTENTE EN LA VENTA AL POR MENOR DE JUEGOS DE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7047271","40.4359841",
126,"PLAZA","CONDE DEL VALLE DE SUCHIL",1,"CODERE APUESTAS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7076336","40.4302481",
127,"CALLE","FERNANDEZ DE LOS RIOS",79,"PERFUMERIA JUTECO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7152289","40.4353234",
128,"CALLE","BLASCO DE GARAY",15,"SALON DE JUEGOS RECREAPARK","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.711828799999999","40.431552",
